"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2020-12-1","51.80","47.79","52.48","46.82","4.51M","8.85%"
"2020-11-1","47.59","37.37","49.09","35.74","5.04M","27.04%"
"2020-10-1","37.46","42.17","43.57","36.64","5.15M","-8.52%"
"2020-9-1","40.95","45.60","46.22","39.30","4.40M","-9.56%"
"2020-8-1","45.28","43.53","46.53","42.89","3.61M","4.57%"
"2020-7-1","43.30","41.58","44.89","41.03","4.03M","5.22%"
"2020-6-1","41.15","37.56","43.93","37.01","4.28M","16.47%"
"2020-5-1","35.33","26.95","36.98","25.50","3.80M","39.81%"
"2020-4-1","25.27","25.99","36.40","15.98","6.45M","11.13%"
"2020-3-1","22.74","48.95","53.90","21.65","7.36M","-54.99%"
"2020-2-1","50.52","56.16","60.00","50.05","5.27M","-13.14%"
"2020-1-1","58.16","66.41","71.75","57.71","5.80M","-11.88%"
"2019-12-1","66.00","60.73","68.99","60.30","4.45M","5.72%"
"2019-11-1","62.43","59.45","64.60","59.40","4.79M","3.65%"
"2019-10-1","60.23","59.38","62.34","56.15","5.61M","-0.90%"
"2019-9-1","60.78","58.80","71.95","57.23","5.63M","0.58%"
"2019-8-1","60.43","64.09","64.54","55.88","5.98M","-7.27%"
"2019-7-1","65.17","65.05","67.65","61.29","5.71M","-2.07%"
"2019-6-1","66.55","61.64","66.85","59.45","5.70M","3.19%"
"2019-5-1","64.49","71.73","73.40","64.37","6.13M","-11.41%"
"2019-4-1","72.80","67.58","75.60","67.58","5.49M","6.45%"
"2019-3-1","68.39","66.48","68.89","64.02","4.84M","3.57%"
"2019-2-1","66.03","61.06","67.73","60.46","4.55M","6.69%"
"2019-1-1","61.89","54.12","63.15","52.51","5.48M","15.04%"
"2018-12-1","53.80","59.98","63.73","49.93","4.73M","-8.36%"
"2018-11-1","58.71","74.69","74.99","57.50","6.26M","-22.21%"
"2018-10-1","75.47","82.79","86.74","75.09","6.90M","-8.76%"
"2018-9-1","82.72","77.69","82.87","75.64","4.69M","6.85%"
"2018-8-1","77.42","74.07","78.03","70.30","4.73M","4.27%"
"2018-7-1","74.25","78.55","79.51","71.19","5.56M","-6.53%"
"2018-6-1","79.44","77.71","79.70","72.45","5.97M","2.38%"
"2018-5-1","77.59","74.65","80.50","72.38","6.37M","3.22%"
"2018-4-1","75.17","69.32","75.47","66.69","6.23M","6.97%"
"2018-3-1","70.27","64.57","71.05","63.19","5.34M","6.83%"
"2018-2-1","65.78","69.00","70.02","61.76","5.66M","-4.74%"
"2018-1-1","69.05","66.55","71.28","66.24","5.48M","3.26%"
"2017-12-1","66.87","62.74","67.10","61.13","4.86M","5.19%"
"2017-11-1","63.57","61.07","64.65","60.00","6.25M","3.58%"
