Date,BTC Open,BTC High,BTC Low,BTC Close,BTC Volume,ETH Price,XRP Price,LTC Price,Oil price,Gold Price,DJI Price
2015/12/29,422.097992,432.983002,420.627014,432.983002,51596500,0.873054,0.006248,3.486770412,37.87 ,1068.00 ,17720.98 
2015/12/30,433.299988,434.386993,422.084015,426.619995,46889400,0.911958,0.00619,3.460536164,36.60 ,1059.80 ,17603.87 
2015/12/31,425.875,432.92099,418.734985,430.566986,45996600,0.933542,0.006043,3.474657705,37.04 ,1060.20 ,17425.03 
2016/1/1,430.721008,436.246002,427.515015,434.334015,36278900,0.948024,0.00594,3.511808027,36.97 ,1063.95 ,17356.01 
2016/1/2,434.622009,436.062012,431.869995,433.437988,30096600,0.937124,0.006072,3.505097896,36.90 ,1067.70 ,17286.99 
2016/1/3,433.578003,433.743011,424.705994,430.010986,39633800,0.971905,0.006008,3.485512042,36.83 ,1071.45 ,17217.96 
2016/1/4,430.061005,434.516998,429.084015,433.091003,38477500,0.95448,0.00596,3.499486366,36.76 ,1075.20 ,17148.94 
2016/1/5,433.069,434.182007,429.675995,431.959991,34522600,0.950176,0.006042,3.470098699,35.97 ,1078.40 ,17158.66 
2016/1/6,431.855988,431.855988,426.341003,429.105011,34042500,0.95086,0.006008,3.460808584,33.97 ,1091.90 ,16906.51 
2016/1/7,430.010986,458.765991,429.076996,458.048004,87562200,0.942005,0.006008,3.602216419,33.27 ,1107.80 ,16514.10 
2016/1/8,457.537994,462.93399,447.937988,453.230011,56993000,0.986789,0.005941,3.575245832,33.16 ,1097.90 ,16346.45 
2016/1/9,453.382996,454.640015,446.889008,447.610992,32278000,0.986833,0.005995,3.574666914,32.58 ,1097.33 ,16363.82 
2016/1/10,448.238007,448.30899,440.351013,447.990997,35995900,0.999231,0.00595,3.542201828,31.99 ,1096.77 ,16381.20 
