"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2023-7-16","79.52","79.34","80.92","78.20","311.44K","-0.44%"
"2023-7-9","79.87","78.60","81.75","77.36","1.71M","1.78%"
"2023-7-2","78.47","75.11","78.54","74.56","1.11M","4.77%"
"2023-6-25","74.90","74.50","75.40","71.57","490.35K","1.42%"
"2023-6-18","73.85","76.40","77.24","72.11","1.15M","-3.60%"
"2023-6-11","76.61","74.87","76.74","71.58","1.51M","2.43%"
"2023-6-4","74.79","77.68","78.73","73.58","1.67M","-1.76%"
"2023-5-28","76.13","77.39","77.75","71.39","787.29K","-1.07%"
"2023-5-21","76.95","75.63","78.66","74.55","1.20M","1.81%"
"2023-5-14","75.58","74.15","77.50","73.49","1.23M","1.90%"
"2023-5-7","74.17","75.23","77.60","74.03","1.38M","-1.50%"
"2023-4-30","75.30","80.11","80.24","71.28","1.63M","-5.33%"
"2023-4-23","79.54","81.87","83.06","77.39","697.69K","-2.60%"
"2023-4-16","81.66","86.43","86.52","80.45","1.41M","-4.90%"
"2023-4-9","85.87","84.45","86.90","83.37","853.36K","0.88%"
"2023-4-2","85.12","86.00","86.44","83.50","1.29M","6.55%"
"2023-3-26","79.89","74.62","79.95","74.39","1.68M","6.53%"
"2023-3-19","74.99","73.01","77.44","70.12","1.06M","2.77%"
"2023-3-12","72.97","82.60","83.48","71.40","2.13M","-11.85%"
"2023-3-5","82.78","85.83","86.75","80.73","1.49M","-3.55%"
"2023-2-26","85.83","83.19","86.00","81.73","840.91K","3.21%"
"2023-2-19","83.16","83.15","84.30","80.40","893.44K","0.19%"
"2023-2-12","83.00","86.51","86.95","81.80","1.19M","-3.92%"
"2023-2-5","86.39","79.61","86.90","79.10","1.43M","8.07%"
"2023-1-29","79.94","86.88","87.48","79.62","1.04M","-7.75%"
"2023-1-22","86.66","87.70","89.09","85.41","805.81K","-1.11%"
"2023-1-15","87.63","85.36","87.85","83.76","1.12M","2.76%"
"2023-1-8","85.28","78.42","85.50","78.42","1.24M","8.29%"
"2023-1-1","78.75","85.69","86.66","77.77","693.84K","-8.33%"
"2022-12-25","85.91","84.50","86.00","81.28","299.20K","2.37%"
"2022-12-18","83.92","79.21","84.12","78.28","755.00K","6.17%"
"2022-12-11","79.04","76.88","83.18","75.26","1.11M","3.86%"
"2022-12-4","76.10","85.73","88.44","75.11","1.32M","-11.07%"
"2022-11-27","85.57","83.58","89.37","80.61","607.40K","2.32%"
