日期,收盘,开盘,高,低,交易量,涨跌幅
2011/1/2,93.33,94.75,96.17,92.37,863.12,-0.0150 
2011/1/9,98.68,93.8,99.2,93.6,601.76,0.0573 
2011/1/16,97.6,98.33,98.75,95.43,850.12,-0.0109 
2011/1/23,99.42,97.59,99.74,94.75,1070,0.0186 
2011/1/30,99.83,99.61,103.37,98.5,897.82,0.0041 
2011/2/6,101.43,99.83,102.88,97.51,682.42,0.0160 
2011/2/13,102.52,101.13,104.52,100.73,1010,0.0107 
2011/2/20,112.14,102.96,119.79,102.93,1120,0.0938 
2011/2/27,115.97,112.5,117.81,111.25,956.95,0.0342 
2011/3/6,113.84,116.12,118.5,112.13,991.01,-0.0184 
2011/3/13,113.93,113.6,117.29,107.35,669.63,0.0008 
2011/3/20,115.59,114.75,116.4,114.15,723.75,0.0146 
2011/3/27,118.7,115.75,119.14,113.52,781.3,0.0269 
2011/4/3,126.65,119.05,126.91,118.75,836.78,0.0670 
2011/4/10,123.45,126.58,127.02,120,668.29,-0.0253 
2011/4/17,123.99,123.15,124.81,119.03,689.98,0.0044 
2011/4/24,125.89,123.99,126.66,122.71,696.71,0.0153 
2011/5/1,109.13,126.1,126.54,105.15,1380,-0.1331 
2011/5/8,113.83,110.2,118.43,109.05,1290,0.0431 
2011/5/15,112.39,113.56,114,108.07,815.77,-0.0127 
2011/5/22,115.03,112.12,115.68,108.58,941.49,0.0235 
2011/5/29,115.84,114.87,117.49,113.4,790.33,0.0070 
2011/6/5,118.78,115.96,120.07,113.8,1060,0.0254 
2011/6/12,113.21,118.46,121.47,111.05,854.53,-0.0469 
2011/6/19,105.12,112.96,114.48,103.62,1360,-0.0715 
2011/6/26,111.77,105.36,113.24,102.28,1000,0.0633 
2011/7/3,118.33,111.3,119.87,110.45,849.93,0.0587 
2011/7/10,117.26,118.27,119.86,114.95,599.72,-0.0090 
2011/7/17,118.67,117.55,119.25,114.66,810.12,0.0120 
2011/7/24,116.74,118.36,119.05,115.75,867.96,-0.0163 
2011/7/31,109.37,117,120.4,104.3,1310,-0.0631 
2011/8/7,108.03,108.5,109.16,98.74,1210,-0.0123 
2011/8/14,108.62,108.1,111.74,105.06,836.44,0.0055 
2011/8/21,111.36,108.5,111.7,105.15,1100,0.0252 
2011/8/28,112.33,110.77,115.36,110.53,897.23,0.0087 
2011/9/4,112.77,112.5,116.6,109.85,854.74,0.0039 
2011/9/11,112.22,112.43,116.1,110.42,614.8,-0.0049 
2011/9/18,103.97,111.71,112.44,103.43,1110,-0.0735 
2011/9/25,102.76,103.61,107.54,101.66,1090,-0.0116 
