日期,收盘,开盘,高,低,交易量,涨跌幅
2021/1/3,55.99,51.5,56.36,50.56,1860,0.0809
2021/1/10,55.1,56.24,57.42,54.64,1540,-0.0159
2021/1/17,55.41,54.75,56.64,54.48,1240,0.0056
2021/1/24,55.88,55.26,56.59,55.07,636.3,0.0085
2021/1/31,59.34,54.91,59.79,54.6,1380,0.0619
2021/2/7,62.43,59.43,62.83,59.43,1390,0.0521
2021/2/14,62.91,62.83,65.52,62.09,1620,0.0077
2021/2/21,66.13,62.68,67.7,62.55,700.39,0.0512
2021/2/28,69.36,64.85,69.69,62.38,1870,0.0488
2021/3/7,69.22,69.97,71.38,66.5,1560,-0.002
2021/3/14,64.53,69.08,70.03,61.45,1780,-0.0678
2021/3/21,64.57,64.53,65.12,60.27,1230,0.0006
2021/3/28,64.86,64.58,65.46,62.38,656.17,0.0045
2021/4/4,62.95,64.57,64.81,61.25,1340,-0.0294
2021/4/11,66.77,63.03,67.38,62.41,1280,0.0607
2021/4/18,66.11,66.7,68.08,64.58,1210,-0.0099
2021/4/25,67.25,66.1,68.95,64.57,735.81,0.0172
2021/5/2,68.28,66.7,69.95,66.1,1220,0.0153
2021/5/9,68.71,68.74,69.9,66.48,1500,0.0063
2021/5/16,66.44,68.92,70.24,64.57,1640,-0.033
2021/5/23,69.63,66.72,69.92,66.46,652.78,0.048
2021/5/30,71.89,68.98,72.17,68.75,1060,0.0325
2021/6/6,72.69,71.82,73.09,70.71,1400,0.0111
2021/6/13,73.51,72.7,74.96,72.01,1300,0.0113
2021/6/20,76.18,73.33,76.21,72.98,1130,0.0363
2021/6/27,76.17,75.99,76.74,73.9,893.49,-0.0001
2021/7/4,75.55,76.23,77.84,72.11,1520,-0.0081
2021/7/11,73.59,75.79,76.72,72.34,1530,-0.0259
2021/7/18,74.1,72.86,74.22,67.44,1570,0.0069
2021/7/25,76.33,74.12,76.38,72.75,596.86,0.0301
2021/8/1,70.7,75.39,75.39,69.75,1540,-0.0738
2021/8/8,70.59,70.26,71.9,67.6,1350,-0.0016
